Category,Procuct,Country,Date,Month,Year,Verified,Helpful,Title,Body,Rating,,,
Vitamin C,B086PHR52V,United States ,August 15,August,2020,yes,-,It has zinc,I was looking for zinc and this was all I could find. I'm not fond of capsules because they're harder to swallow but this will do. Overall this is a good product.,4,,,
Vitamin C,B086PHR52V,United States ,June 23,June,2020,yes,-,Love it so much,I was sick nearly all the time last winter and literally bought an entire pharmacy worth of vitamins and natural supplements. My nutritionist recommended having elderberry so I checked this one out and it has the other vitamins I was taking anyway like zinc and vitamin D. One stop shop for immune support,5,,,
Vitamin C,B086PHR52V,United States ,August 18,August,2020,yes,yes,Maybe too much,"I was so excited to receive this vitamin, especially with everything going on. I started to take it and it gave me terrible acid reflex. I’m not sure if it was too much or the combination of the three but I haven’t been able to take anymore and it’s just a full bottle sitting on my counter.",3,,,
Vitamin C,B086PHR52V,United States ,June 5,June,2020,yes,yes,elderberry never fails,I was taking this elderberry supplement when my colleagues all got sick last month and I was the only one who never got it! It's a total immune system booster with 800mg of Vitamin C and 10 mg of Zinc.,5,,,
Vitamin C,B086PHR52V,United States ,September 15,September,2020,yes,-,Good nutrition,"I wasn’t sure I would be able to swallow these capsules easily, but I have no problem. Lots of great nutrients so my immune system should be solid.",5,,,
Vitamin C,B086PHR52V,United States ,August 22,August,2020,yes,-,GREAT PRODUCT!!,"I wasn’t sure what to expect when I ordered this product, but I’m soo glad I did!  After a couple days I could feel a difference in my energy and my overall feeling.  GREAT PRODUCT!!!",5,,,
Vitamin C,B086PHR52V,United States ,July 21,July,2020,yes,-,Great prroduct,I will buy this product again.,5,,,
Vitamin C,B086PHR52V,United States ,June 13,June,2020,yes,yes,best immunity formula,I work in an elementary school and most of the kids are sick every day. I used to get sick very often but then I started taking this elderberry combo and my health got better drastically. I did a few other things as well but I think this was the biggest impact,5,,,
Vitamin C,B086PHR52V,United States ,June 4,June,2020,yes,-,Affordable protection,"I'd been buying the elderberry, vitamin c and vitamin d separately -it's nice to have a product which combines them all.",4,,,
Vitamin C,B086PHR52V,United States ,August 15,August,2020,yes,-,Surprisingly effective,"I'm definitely one of those non-believers. I highly doubted this would work, but my wife made me take them. Because I am an essential worker with two young children, my wife was worried that I would get sick and it would affect our entire family.I usually get summer colds, but have yet to catch a cold all summer, even with long working hours which usually means (for me) a lowered immune system. I now recommend this elderberry supplement to EVERYONE, because it works!!!",5,,,
Vitamin C,B086PHR52V,United States ,July 10,July,2020,yes,yes,Holy elderberry,I'm giving this to my mom who is elderly and she usually hates capsules but has no issues with these. She's currently taking 1 and i'm trying to get her to 2 since that's the full dose. But even with 1 you get so many benefits,5,,,
Vitamin C,B086PHR52V,United States ,August 3,August,2020,yes,-,Truly a lifesaver !,"I'm impressed. The zinc, vitamin C, vitamin D, elderberry and ginger combo have done wonders for my health, energy levels, and skin!",5,,,
Vitamin C,B086PHR52V,United States ,July 9,July,2020,yes,yes,5000iu of vitamin d,"I'm in california and get plenty of sunlight but with the flu going around you can never take too much..at least i don't think you can! Regardless, this formula is amazing. High doses of vitamin c, vitamin d and elderberry. You should always take zinc for skin, hair, immunity and so much more. Theres also ginger which is just good to take in general..i usually add a knob to my smoothie but since taking this I don't need to",5,,,
Vitamin C,B086PHR52V,United States ,June 10,June,2020,yes,yes,Antiviral support for everyone!,"I'm worried about my kids catching the virus so I got these! I read that the dosages are too high for young children, but my kids are teenagers and I feel safe about them taking 5000iu of vitamin D, especially during times like these",5,,,
Vitamin C,B086PHR52V,United States ,June 9,June,2020,yes,yes,Powerful high dose ingredients,"I've been curious about Elderberry and I found out it's perfect for colds! This one has 5 active ingredients that are awesome for immunity support! It contains Vitamin D: 5000 IU, Elderberry: 1000mg, Vitamin C: 800mg, Zinc: 10mg and Ginger: 300mg",5,,,
Vitamin C,B086PHR52V,United States ,June 10,June,2020,yes,yes,The best thing for your immune system,I've been safe from colds and viruses thanks to this immune system booster!!! I am prone to getting sick and need more immune support than most people do. These dosages are super high and not what I commonly find in other supplements.,5,,,
Vitamin C,B086PHR52V,United States ,June 11,June,2020,yes,-,Sugar-free Elderberry capsules,I've been searching for sugar-free elderberry on Amazon for quite some time since I stopped taking sambucol. They are always full of sugar!! I don't get why they put such great ingredients in a base of sugar? Thankfully this doesn't break my diet and works at the same time,5,,,
Vitamin C,B086PHR52V,United States ,July 22,July,2020,yes,-,Better than gummy supplements,I've been struggling with bad immunity but this supplement really helped me feel much better,5,,,
Vitamin C,B086PHR52V,United States ,June 12,June,2020,yes,-,5000iu of vitamin D in every serving!,"I've been taking 1000iu of vitamin d but since the pandemic, i increased to 5000iu and tried adding in other ingredients. This formula has 1000mg of elderberry and 800mg of vitamin C so I'm looking forward to taking this!",5,,,
Vitamin C,B086PHR52V,United States ,June 8,June,2020,yes,yes,Has antioxidant properties,I've been using these immune system boosting capsules for a few days and already I see an improvement. Plus I feel safer knowing I'm doing something for covid 19,5,,,
Vitamin C,B086PHR52V,United States ,June 11,June,2020,yes,-,Every immune nutrient you need,"I've been using this elderberry product because it has 1000mg of elderberry with vitamin C, vitamin D & zinc. I was so impressed by the results that I ordered another bottle for my boyfriend and forced him to take it! He's happy with it too.",5,,,
Vitamin C,B086PHR52V,United States ,August 15,August,2020,yes,yes,Immune booster that treats acne and clears skin,I've had bad acne since...well always. A friend of mine suggested that I start using zinc and vitamin C. Bonus from this supplement..haven't gotten sick and skin flare ups are minimal! Recommending for anyone who needs cold and flu protection but also glowing skin,5,,,
Vitamin C,B086PHR52V,United States ,August 17,August,2020,yes,yes,Awesome immune combo,"I've never taken elderberry before, but I'm glad I found these. It's an great combo of virus killers, in this pandemic I highly recommend you pick this up. I had no bad side effects from taking these as directed. And I had covid so I know! Even the doctors will prescribe their patients zinc and vitamin c when they are in the hospital for covid. Even better to treat yourself at home.",5,,,
Vitamin C,B086PHR52V,United States ,September 16,September,2020,yes,-,Fast shipping.,If this saves me from a hospital trip from COVID this product deserves a million star. Really fast shipping too.,5,,,
Vitamin C,B086PHR52V,United States ,August 8,August,2020,yes,-,A good way towards improved health,"If you are having second thoughts, trust me there is no need! This is the best immunity booster out there! Giving it 5 stars",5,,,
Vitamin C,B086PHR52V,United States ,August 8,August,2020,yes,-,No more Mr. Sneezy,"If you are the person who’s always the first to catch a cold then you know how I feel. Having two elderberry pills a day changed me and my health. It's not just elderberry though..it comes with ginger, zinc & vitamins c and d. HELLO IMMUNITY!",5,,,
Vitamin C,B086PHR52V,United States ,August 4,August,2020,yes,-,Don’t buy useless products,"If you can waste money on tech gadgets and other stupid products, then you can also get these elderberry capsules and buy something worth your money and time!",5,,,
Vitamin C,B086PHR52V,United States ,August 15,August,2020,yes,yes,Skin saved,"If you ever experienced sudden changes on your skin you know just how frustrating it can be. No matter what I did, there was no improvement. About 3 months ago was the first time I ordered these elderberry pills for adults, and things started getting better. Combined with my new diet, my skin is again what it once was AND i'm covid free!!",5,,,
Vitamin C,B086PHR52V,United States ,August 14,August,2020,yes,-,Nutritious and energizing,"If you have a cold, this supplement will make you feel better in a couple of days.",5,,,
Vitamin C,B086PHR52V,United States ,July 27,July,2020,yes,-,All the healthy ingredients you need,"If you're having problems with zinc deficiency, this immune support formula can help. It has 10mg per 2 capsules, plus 800mg of vitamin C",5,,,
Vitamin C,B086PHR52V,United States ,July 2,July,2020,yes,-,Beat vitamin D and zinc deficiency,If you're suffering from vitamin D and zinc deficiency then you should definitly go for this product. Some other brands sell elderberry capsules but I havent seen a better formula then this,5,,,
Vitamin C,B086PHR52V,United States ,July 11,July,2020,yes,-,Convenient to purchase,Immune booster,5,,,
Vitamin C,B086PHR52V,United States ,August 10,August,2020,yes,-,Incredible for health,"Immune boosting properties are incredible, and my skin has never looked better thanks to vitamin D, vitamin C, and zinc. Very nutritious!",5,,,
Vitamin C,B086PHR52V,United States ,August 7,August,2020,yes,-,Help to boost your. Inmune system,Immune system,5,,,
Vitamin C,B086PHR52V,United States ,July 28,July,2020,yes,-,Health,Immune system,5,,,
Vitamin C,B086PHR52V,United States ,July 2,July,2020,yes,-,Ingredients,Immune system and had all ingredients I take taking several vitamins,5,,,
Vitamin C,B086PHR52V,United States ,October 10,October,2020,yes,-,Health benefits,Immunity for COVID,5,,,
Vitamin C,B086PHR52V,United States ,July 4,July,2020,yes,-,Perfect dosage,"In addition to the elderberry, these capsules contain 5000 iu of vitamin D in each serving..um WOW! If you start taking these capsules, you’ll literally notice changes in your health in a week",5,,,
Vitamin C,B086PHR52V,United States ,August 14,August,2020,yes,-,Loving this product from Viva Naturals!,"In the realm of elderberry pills, these are definitely the best when comparing price, quality, and ingredients (I have tried them all!). And since the ingredients are so natural and clean, these are safe as a daily supplement.",5,,,
Vitamin C,B086PHR52V,United States ,June 2,June,2020,yes,yes,Can’t go wrong with elderberry and vitamin C!,"In the winter, I was taking sambucol black elderberry syrup, but in light of the coronavirus pandemic, I’ve been looking for extra support to keep my immune system in check. Vitamin D is something I take all year round (I just adjust the dose), but as an immune system booster, I go with 5000iu just to keep me from getting sick. To be on the safe side, you should always add complementing vitamins and antioxidants, which this product has. 1000mg of elderberry, which is equal to 4000mg dried fruit and 800mg of vitamin C per serving, which is only 2 capsules per day!",5,,,
Vitamin C,B086PHR52V,United States ,July 25,July,2020,yes,yes,"Hate to do this, but…","It always annoyed me when I see people telling you that you HAVE TO try this product, or you HAVE NEVER TASTED anything like this before. Unfortunately, now I have to be THAT GUY. These elderberry pills are really the best thing that happened to me. There wasn’t a day that I wasn’t feeling great since I included them in my everyday diet. So, you HAVE TO try them",5,,,
Vitamin C,B086PHR52V,United States ,June 22,June,2020,yes,-,Immune protection,It has helped my overall health and appears to help nails and hair.,5,,,
Vitamin C,B086PHR52V,United States ,July 13,July,2020,yes,-,Wonderful,It helped me in relieving aches fatigue.its great for my complecxion & no more constipation.,5,,,
Vitamin C,B086PHR52V,United States ,June 20,June,2020,yes,-,"Great product, the price was great!@",It is filled with the vitamins i was looking for.,5,,,
Vitamin C,B086PHR52V,United States ,August 18,August,2020,yes,-,Convenient way to boost your immune system,It really doesn’t affect your schedule at all..It takes like 5 seconds to take these 2 elderberry pills and you are done. You have done more for your health in those 5 seconds than ever before. Amazing product,5,,,
Vitamin C,B086PHR52V,United States ,August 31,August,2020,yes,-,Good stuff,It was easy to swallow and I think I feel like I have more energy already.,5,,,
Vitamin C,B086PHR52V,United States ,July 31,July,2020,yes,-,Good buy!,"It was great, felt better in a few days while taking them",5,,,
Vitamin C,B086PHR52V,United States ,August 1,August,2020,yes,-,Good product,It was what I expected,5,,,
Vitamin C,B086PHR52V,United States ,August 23,August,2020,yes,-,Elderberry tablets,It would be nice to have a one a day tablet.  Instead of taking these large tablets twice a day.,4,,,
Vitamin C,B086PHR52V,United States ,June 12,June,2020,yes,yes,5 in 1 immune and digestion support,"It's amazing how I can get all the vitamins I need from one supplement! It has Vitamin D, Vitamin C, ginger extract and zinc oxide! They help fight colds even before they get worse",5,,,
Vitamin C,B086PHR52V,United States ,August 31,August,2020,yes,-,good quality,"It's been helping my immune system, and I'm really liking it.",4,,,
Vitamin C,B086PHR52V,United States ,June 20,June,2020,yes,-,Very happy with this product and seller,Item as described and the capsules are very easy to take. Fast  shipping.,5,,,
Vitamin C,B086PHR52V,United States ,June 9,June,2020,yes,yes,Great Product,Item is very good.  Great service.,5,,,
Vitamin C,B086PHR52V,United States ,September 2,September,2020,yes,-,Great purchase,It’s a little too big to swallow,5,,,
Vitamin C,B086PHR52V,United States ,August 14,August,2020,yes,-,Good,It’s a vitamin,5,,,
Vitamin C,B086PHR52V,United States ,July 14,July,2020,yes,-,Now or never,It’s about time we all start looking after ourselves in a proper way. Elderberry immune capsules are just one step in the right direction!,5,,,
Vitamin C,B086PHR52V,United States ,July 22,July,2020,yes,-,Great all in one immune boosting Vitamin.,It’s an all in one immune boosting vitamin.  Easy to swallow. Very pleased! Fast delivery.,5,,,
Vitamin C,B086PHR52V,United States ,July 16,July,2020,yes,-,Makes sense,"It’s no wonder these immune pills do such an amazing job, just read the ingredients! Zinc + vitamin C + vitamin D + elderberry = health boost",5,,,
Vitamin C,B086PHR52V,United States ,June 16,June,2020,yes,-,An effective blend of ingredients,Ive been looking for a supplement to make me deal with my regular colds better. My sinus issues seem to have gotten better since starting this. Also love the fact that it has no sugar,5,,,
Vitamin C,B086PHR52V,United States ,July 1,July,2020,yes,-,Every immune nutrient you need,"Ive been using this elderberry product because it has 1000mg of elderberry with vitamin C, vitamin D & zinc. I was so impressed by the results that I ordered another bottle for my boyfriend and forced him to take it! He's happy with it too",5,,,
Vitamin C,B086PHR52V,United States ,July 5,July,2020,yes,-,We’ll see...,I’ll give this some time to get into my system and we’ll see how it does,5,,,
Vitamin C,B086PHR52V,United States ,July 27,July,2020,yes,-,Great health benefits,"I’m a supplement skeptic – but the elderberry, vitamin c, zinc, vitamin D & ginger combo do wonders for my health. I'm feeling more energized throughout the day and no more stuffy nose",5,,,
Vitamin C,B086PHR52V,United States ,June 26,June,2020,yes,yes,Pleased,I’m not good with flavors of vitamins so that’s why I ordered capsules. Theses are really easy to swallow.,5,,,
Vitamin C,B086PHR52V,United States ,September 29,September,2020,yes,-,Good for you,I’m sure it’s good for me but the pills are big and a little hard to swallow.,4,,,
Vitamin C,B086PHR52V,United States ,June 15,June,2020,yes,-,High dose elderberry and vitamin c for immune health!,I’ve been searching for a good elderberry supplement for so long! I'm so glad I found this one with 1000mg of Elderberry and 800mg of Vitamin C! Haven't started taking it yet but based on the ingredients i have no doubt it'll work,5,,,
Vitamin C,B086PHR52V,United States ,September 25,September,2020,yes,yes,So far...so good!,"I’ve only been taking these for about a week, but if I take them on a full stomach, I definitely get heartburn from the ginger believe it or not. It’s as if I’ve eaten a piece of ginger or candied ginger...same “burning” sensation in my chest/throat. It doesn’t last long, but it definitely is noticeable. However, if I take them on an empty stomach, no issues at all! It’s not bad enough for me to stop taking them, even with a full stomach. I am hoping it will help with this years cold/flu/Covid-19 season at least. We’ll see I guess! ???????",4,,,
Vitamin C,B086PHR52V,United States ,October 5,October,2020,yes,-,Healthy,I’ve only just started taking these so I don’t know really about long term tesults,5,,,
Vitamin C,B086PHR52V,United States ,July 13,July,2020,yes,-,Good product,"Just I have one week used, I don’t feel any different, but maybe in more time , no flavor that’s good, easy to swallow, and all in one we need now.",5,,,
Vitamin C,B086PHR52V,United States ,July 7,July,2020,yes,-,TAKE MY MONEY!,Just kidding,5,,,
Vitamin C,B086PHR52V,United States ,June 27,June,2020,yes,-,Wonderful,Just seem over all good products,5,,,
Vitamin C,B086PHR52V,United States ,August 10,August,2020,yes,-,I’ve only been taking it a week.,Just started taking it.,5,,,
Vitamin C,B086PHR52V,United States ,July 23,July,2020,yes,-,Just started using,"Just started using this, just boosting my immune system so pretty sure they’ll get the job done ?????",5,,,
Vitamin C,B086PHR52V,United States ,July 18,July,2020,yes,-,Excellent formula,"Just the right amount of vitamin C, vitamin D, zinc and ginger for a strong immune system. Love that it doesn’t have sugar",5,,,
Vitamin C,B086PHR52V,United States ,August 19,August,2020,yes,-,Good product,Just wish the pills were a little smaller but still like them,5,,,
Vitamin C,B086PHR52V,United States ,July 25,July,2020,yes,-,Natural and sugar free,Keep your body in shape and take vitamins every day! This sugar free option is the best one in my opinion,5,,,
Vitamin C,B086PHR52V,United States ,June 15,June,2020,yes,yes,Immune system health and more!,"Lately I’ve been struggling to get all my supplements in, just because there are so many you need for immunity support. I was recommended to take zinc oxide and vitamin C, but doing some more research into immune supplements, I came across elderberries. Initially I tried the syrup but I thought it was way too sweet, plus I kept forgetting to take it since I wasn’t always by my refrigerator. This product offers easy swallow capsules which are super convenient. I also love that you get 5000iu of vitamin d3 and 300mg of ginger, which I never thought to take but I read that it’s also needed for immune defense. Very impressed with this formula and excited to feel the benefits!",5,,,
Vitamin C,B086PHR52V,United States ,August 13,August,2020,yes,-,Surprising,"Let’s be honest here! I knew that all of the ingredients in this (Elderberry, Vitamin C, Vitamin D, and Zinc) help with immunity and energy, but I didn't expect skin improvements? Pleasantly surprised!",5,,,
Vitamin C,B086PHR52V,United States ,August 1,August,2020,yes,-,READ THE LABEL,Let’s clear out something - this is PURE elderberry. 1000mg per 2 capsules which is way more than other brands offer. Elderberry product works COMPLETELY as stated in the description,5,,,
Vitamin C,B086PHR52V,United States ,October 26,October,2020,yes,-,Good for immune,Like,5,,,
Vitamin C,B086PHR52V,United States ,September 9,September,2020,yes,-,Immune support,"Like that it contains c, zinc, and elderberry in one vs taking each separately.",4,,,
Vitamin C,B086PHR52V,United States ,June 12,June,2020,yes,-,This is good for many things.,Like that it works with vitamins for different needs.,5,,,
Vitamin C,B086PHR52V,United States ,September 17,September,2020,yes,-,Vitamins,Like that they are easy to swallow,5,,,
Vitamin C,B086PHR52V,United States ,August 11,August,2020,yes,-,Wonderful,Like the effectiveness; nothing I dislike.,5,,,
Vitamin C,B086PHR52V,United States ,August 19,August,2020,yes,-,Vitamins c and zinc needed,Liked,5,,,
Vitamin C,B086PHR52V,United States ,October 17,October,2020,yes,-,That it boosts the immune system,Liked this vitamin,4,,,
Vitamin C,B086PHR52V,United States ,July 3,July,2020,yes,-,Recommend this elderberry formula to all,"Long story short, if you want a product that's an all-rounder and contains the goodness of vitamin D, C and zinc then you should definitely buy these elderberry capsules. I recommend it to everybody for an immunity boost, but it actually does more. You need these nutrients for hundreds of functions in the body",5,,,
Vitamin C,B086PHR52V,United States ,July 5,July,2020,yes,-,Vitamins listed,Lots of vitamins in one pill,5,,,
Vitamin C,B086PHR52V,United States ,August 31,August,2020,-,-,Very satisfied,Love it,5,,,
Vitamin C,B086PHR52V,United States ,July 30,July,2020,yes,-,Can’t go wrong with this one,Love love love it! The formula and the fact they are easy to swallow..it's everything!,5,,,
Vitamin C,B086PHR52V,United States ,July 11,July,2020,yes,-,Perfect for Covid times,Love my vitamins,5,,,
Vitamin C,B086PHR52V,United States ,July 15,July,2020,yes,-,A must have!,Love that there’s no after taste. Been taking them for a week now and I love it.,5,,,
Vitamin C,B086PHR52V,United States ,October 19,October,2020,yes,-,Great product,Love the fact that it's a 5 in 1 supplement. Less pills tip take. I have felt better since I've started taking them.,5,,,
Vitamin C,B086PHR52V,United States ,June 16,June,2020,yes,-,Great results!,Love this elderberry right here! I used to make my own elderberry syrup when I got sick but i became lazy..too time consuming. I can definitely see the results with this. It shortens the length of my cold and overall I feel better,5,,,
Vitamin C,B086PHR52V,United States ,September 5,September,2020,yes,-,Elderberry vitamins,Love this product and brand my second order and not my last!??,5,,,
Vitamin C,B086PHR52V,United States ,May 21,May,2020,-,-,Building my immune system.,Love this product because it builds your immune system.,5,,,
Vitamin C,B086PHR52V,United States ,July 31,July,2020,yes,-,Some top-notch stuff,Love this product! All the compliments to the seller for giving us elderberry pills with no sugar that taste awesome,5,,,
Vitamin C,B086PHR52V,United States ,July 15,July,2020,yes,-,Dannie Brault,"Loving the effect this formula has on my body. I feel good everyday and don't think I can ever get sick with these ingredients. If you have an exhausting workout routine, this could help to feel less tired and more energized.",5,,,
Vitamin C,B086PHR52V,United States ,July 10,July,2020,yes,-,Awesome for skin,"Loving the immune boosting part, but zinc and vitamins D and C actually make my skin healthier too!",5,,,
Vitamin C,B086PHR52V,United States ,July 19,July,2020,yes,-,No thanks,Loving them so far.  Expensive,5,,,
Vitamin C,B086PHR52V,United States ,June 8,June,2020,yes,-,Minor package beautification,"Maybe a flip top bottle cap will make the packaging perfect. But if it will add cost, save it, twisting the cap has a little exercise and little fun too??",4,,,
Vitamin C,B086PHR52V,United States ,September 28,September,2020,yes,-,We got sick because of using this vitamin,Me and my daughter got constipation after using this vitamin,1,,,
Vitamin C,B086PHR52V,United States ,October 28,October,2020,yes,-,Powerful vitamins during rona,Me and my spouse takes this daily during corona to ensure we are protected and immune system is on point. I like that it has other vitamin E and C,5,,,
Vitamin C,B086PHR52V,United States ,August 5,August,2020,yes,-,Good product,Meets it's criteria,4,,,
Vitamin C,B086PHR52V,United States ,September 9,September,2020,yes,-,Great Product,Meets my expectation,5,,,
Vitamin C,B086PHR52V,United States ,June 3,June,2020,yes,yes,5000 IU of vitamin D3 AND full immune support!,"Most people know by now to take vitamin D3 to boost their immune system, but what people don’t know is that you need 5000 IU or more (in some cases) for it to be beneficial. Every year I look for an immune booster for cold prevention, and with the recent outbreak of covid-19 I have been megadosing on zinc and vitamin C. Recently a friend told me I should try elderberry pills because elderberry has been shown to fight viruses, so I started looking for an all in one immune support supplement that would prevent me from taking multiple pills throughout the day. What stood out the most to me about this product was that per serving (2 capsules), you get 800mg of vitamin C AND 5000 IU of vitamin D - you won’t find these high dosages in other products!",5,,,
Vitamin C,B086PHR52V,United States ,September 26,September,2020,yes,-,Muy buena,Muy buena,5,,,
Vitamin C,B086PHR52V,United States ,July 26,July,2020,yes,-,Buenisimo,"Muy buena calidad , fácil de tomar, si volveré a comprar mas",5,,,
Vitamin C,B086PHR52V,United States ,June 21,June,2020,yes,-,Nutritivo,Muy bueno,5,,,
Vitamin C,B086PHR52V,United States ,May 29,May,2020,yes,-,5 propiedades en una sola pastilla que no hay que tomar 5 pastillas,Muy buenos,5,,,
Vitamin C,B086PHR52V,United States ,August 10,August,2020,yes,-,Stocking!,"My advice would be to buy two bottles, in case they run out of stock. P.s. no need to take extra vitamin D or vitamin C with this..the dosages are already high",5,,,
Vitamin C,B086PHR52V,United States ,July 24,July,2020,yes,-,Round Two,My body is ready for more of this!! Love the ingredients and the science behind this formula,5,,,
Vitamin C,B086PHR52V,United States ,June 12,June,2020,yes,-,Antioxidant formula + vitamins and minerals for good health!,"My co-worker suggested this to offer antioxidant support, to help fight free radicals and reduce oxidative stress. It definitely seems to be helping.",5,,,
Vitamin C,B086PHR52V,United States ,July 2,July,2020,yes,-,Reduces the severity and length of the flu,"My cold usually lasts between 5 to 8 days. Now, it lasts for less than 2 days. Try it and read about how effective elderberry is. Plus how can you go wrong with 5000 iu vitamin D?",5,,,
Vitamin C,B086PHR52V,United States ,June 5,June,2020,yes,-,Family loves this,"My family can't go without this supplement. We get Vitamins C and D, elderberry and ginger, and 10mg zinc! If you've ever taken zinc lozenges, it's because zinc helps the immune system too, which most people don't know. This is everything our immune system needs in serving (2 capsules)",5,,,
Vitamin C,B086PHR52V,United States ,July 3,July,2020,yes,yes,It works as claimed,"My flu symptoms disappeared after 24 hours. Once I feel that I’m about to get a cold, I take two pills in the morning and the other two in the evening. The next day, all the symptoms are gone. Recommend this for protection against coronavirus or any other flu!",5,,,
Vitamin C,B086PHR52V,United States ,September 14,September,2020,yes,-,Thats it's safe.,My health.,5,,,
Vitamin C,B086PHR52V,United States ,September 30,September,2020,yes,-,Easy to Use; Very Effective in Fighting Colds & Flu!,"My husband & I have been taking this product since July, 2020.  We were exposed to someone with a cold, & someone else who had tested positive for covid, on Labor Day weekend 2020.  Did not develop any covid symptoms, but did get mild colds--nothing like we've gotten in previous years, though!  Other than a slight runny nose, & the hacking cough--again, nothing like in the past--the colds were gone within a week to 10 days.  No cold symptoms other than those!  Flu season will be starting soon, so we'll see what happens then.  As my husband has COPD & words with the public every day, any products that protects him gets  five stars from me!  Easy to swallow, no taste, & it works!",5,,,
Vitamin C,B086PHR52V,United States ,June 18,June,2020,yes,-,Excellent for everyday health,"My husband and I caught a very bad flu last month, we never got tested so we're not sure what it was. Ordered this product but haven't used it yet. Just trying to not make the same mistake as last time. We both take vitamin D for our bones so we're going to finish that and start this since it's high potency. Also love that it has 800 mg of vit c",5,,,
Vitamin C,B086PHR52V,United States ,August 30,August,2020,yes,-,To boost my immune system,My immune system,5,,,
Vitamin C,B086PHR52V,United States ,July 14,July,2020,yes,-,One for mommy,"My kids love the elderberry syrup, and now mommy can have her vitamins too",5,,,
Vitamin C,B086PHR52V,United States ,July 31,July,2020,yes,-,5-STAR PRODUCT,My lovely lady and I give thumbs up to this one! Pure gold,5,,,
Vitamin C,B086PHR52V,United States ,October 22,October,2020,yes,-,Tastes great & works!,"My lungs burned & I coughed like a lung was coming up.  I have a ritual of taking these elderberries, another honey drops from Canada, & Oscillilicom (I know I spelled it wrong) but that stuff is better than Penicillin, at least for me.  I'm allergic to it, don't take meds, so I rely on natural products.  Zinc, Vitamin D, Vitamin C & Osicillicom is the bomb the getting better in 2 days.  You might be different, but for me & my kids, it's our first line of defense.",5,,,
Vitamin C,B086PHR52V,United States ,July 4,July,2020,yes,-,Really good for hair fall,My mom ordered this and raved about it so i got them too. FYI there's vitamin C and zinc in here which is good for hair loss..not just for preventing illness,5,,,
Vitamin C,B086PHR52V,United States ,June 20,June,2020,yes,yes,Goodness of ginger and zinc,My mom told me to try this product. It has 5000 iu vitamin D plus zinc and ginger. At first I told her not to buy natural stuff because I'm an OTC kinda person. I gotta admit since taking them my cough is gone and my energy is up. Not sure if it's a placebo effect but so far so good,5,,,
Vitamin C,B086PHR52V,United States ,July 29,July,2020,yes,-,A brand new fan,"My sister got these for our family. She’s a freak when it comes to staying healthy but I was never that guy. After a week of giving these elderberry pills a go, I noticed more energy and improved focus, so you can say you got yourself a new fan boy",5,,,
Vitamin C,B086PHR52V,United States ,July 23,July,2020,yes,-,Fantastic immune support,My sister has been struggling with a nasty cough but this 5-in-1 supplement helped so much. Everyone in the family is taking it now,5,,,
Vitamin C,B086PHR52V,United States ,June 22,June,2020,yes,yes,My kids love this elderberry supplement,My teens hate pills but they're afraid of catching this virus so they'll take anything I give them pretty much. They love chewable tablets or gummies because they taste like candy but when i compared the dosages I was laughing! Even if you take 1 of these a day I think it's still better than taking other brands.,5,,,
Vitamin C,B086PHR52V,United States ,October 6,October,2020,yes,-,Good value,My wife loves it and we’ve ordered a number of these already!,5,,,
Vitamin C,B086PHR52V,United States ,July 19,July,2020,yes,-,None,N/A,5,,,
Vitamin C,B086PHR52V,United States ,July 18,July,2020,yes,-,Great supplement,N/a,5,,,
Vitamin C,B086PHR52V,United States ,September 10,September,2020,yes,-,na,Na,5,,,
Vitamin C,B086PHR52V,United States ,August 30,August,2020,yes,-,Na,Na,5,,,
Vitamin C,B086PHR52V,United States ,August 18,August,2020,yes,-,Lifesaver,"Needed this so bad! Only when I started getting better, did I realize how poor my health actually was.",5,,,
Vitamin C,B086PHR52V,United States ,July 7,July,2020,yes,-,Loving this new formula!,"Needs to be said! I love this elderberry formula. This is NOT my first time with immune support products, and this is the best one I tried, by far! Buy",5,,,
Vitamin C,B086PHR52V,United States ,July 30,July,2020,yes,-,Powerful elderberry formula,Never before have I used elderberry with vitamin C and D..I can definitely tell it’s more potent then the pills I used to drink,5,,,
Vitamin C,B086PHR52V,United States ,July 15,July,2020,yes,-,Team elderberry!,Never going back to the gummy ones! NO sugar and healthy!,5,,,
Vitamin C,B086PHR52V,United States ,August 31,August,2020,yes,-,Nice,"New to this product and only been on a short time so don't know lasting results yet.  Came early, easy instructions and easy to take",5,,,
Vitamin C,B086PHR52V,United States ,August 15,August,2020,yes,-,Great natural ingredients,New user and I’m using to build immune system.,5,,,
Vitamin C,B086PHR52V,United States ,July 22,July,2020,yes,-,Yes Yes YES,No aftertaste - YesAmazing Ingredients - YesImproves Health - Yes,5,,,
Vitamin C,B086PHR52V,United States ,June 9,June,2020,yes,yes,Sugar-free alternative to gummies,No aftertaste! Even though it's a capsule sometimes there's a funky odor like B vitamins have - not with this! Plus it has no sugar like the gummies I'm used to taking. This is the only elderberry supplement I trust! Who can complain about 5000 IU of vitamin D per serving? seriously,5,,,
Vitamin C,B086PHR52V,United States ,June 10,June,2020,-,yes,Quick delivery,No dislike! Use it for immunity build! You guys are so service oriented!,5,,,
Vitamin C,B086PHR52V,United States ,August 25,August,2020,yes,-,No issues,No issues,5,,,
