,Category,Subcat,name,price,price_cat,stars,stars_cat,sales,sales_cat
2918,Lifestyle,Greeting Cards & Videos,vladimir putin animated and voice act,5,Very Low,5,Five,25,Low
2919,Writing & Translation,Legal Writing,"write bespoke website terms and conditions, privacy policy",40,Low,5,Five,10,Low
2920,Lifestyle,Online Lessons,"do mathematics,physics,chemistry and biology",5,Very Low,5,Five,9,Low
2921,Programming & Tech,E-Commerce Development,create your automated shopify dropshipping store,195,Medium,5,Five,30,Low
2922,Programming & Tech,Data Analysis & Reports,do python programming for your machine learning projects,300,High,5,Five,34,Low
2923,Programming & Tech,Game Development,write a custom unity shader,40,Low,5,Five,7,Low
2924,Digital Marketing,Music Promotion,do organic spotify promotion within targeted audience,10,Very Low,5,Five,4,Low
2925,Video & Animation,Screencasting Videos,record HD screencast instructional tutorial explainer video,5,Very Low,5,Five,2,Low
2926,Video & Animation,Subtitles & Captions,"add chinese subtitles to english videos, vice versa",5,Very Low,4.9,Four+,57,Moderate
2927,Music & Audio,Voice Over,record an american female voice over narration,40,Low,5,Five,1k+,Huge
2928,Programming & Tech,User Testing,conduct an accessibility audit on your site,15,Low,nul,No Star,nul,No Sale
2929,Digital Marketing,Local SEO,optimize your google my business listing for local SEO,75,Medium,nul,No Star,nul,No Sale
2930,Programming & Tech,User Testing,record an insightful website analysis to improve conversions,40,Low,5,Five,112,Moderate
2931,Lifestyle,Viral Videos,do the funny things you can think of,5,Very Low,5,Five,6,Low
2932,Video & Animation,Animation for Streamers,do custom animated stinger transition,50,Low,4.8,Four+,4,Low
2933,Writing & Translation,Email Copy,write a persuasive crowdfunding or fundraising story,15,Low,4.8,Four+,17,Low
2934,Video & Animation,Slideshows Videos,create modern elegant slideshow,20,Low,5,Five,320,Huge
2935,Lifestyle,Arts & Crafts,write crochet pattern  and send crochet products,15,Low,5,Five,7,Low
2936,Digital Marketing,Domain Research,help sell your domain name with appraisal and landing page,15,Low,5,Five,14,Low
2937,Programming & Tech,Desktop Applications,"develop python, c firmware for raspberry pi, esp32, arduino, embedded system",20,Low,5,Five,27,Low
2938,Business,E-Commerce ManagementNew,be your product sourcing agent in china and worldwide,15,Low,4.9,Four+,38,Low
2939,Video & Animation,Character Animation,create a realistic 3d render of your clothing or fashion product,20,Low,4.9,Four+,13,Low
2940,Writing & Translation,Product Descriptions,write SEO optimized fba amazon product listing description,55,Medium,nul,No Star,nul,No Sale
2941,Writing & Translation,Speechwriting,write your wedding speech,5,Very Low,5,Five,1,Low
2942,Music & Audio,Dialogue Editing,"professionally fix, denoise, and restore your audio in less than 12 hours",15,Low,4.9,Four+,39,Low
2943,Business,Presentations,build a kickass investor pitch deck for your startup,80,Medium,4.9,Four+,7,Low
2944,Video & Animation,Spokespersons Videos,be your green screen english or spanish medical spokesperson,50,Low,5,Five,170,Huge
2945,Video & Animation,Short Video Ads,film a lifestyle video for products or brands,95,Medium,5,Five,709,Huge
2946,Lifestyle,Your Message On...,be your male model for your brand,10,Very Low,4.3,Four+,32,Low
2947,Programming & Tech,Databases,"help you with all the database, sql related queries",25,Low,5,Five,11,Low
2948,Programming & Tech,Development for StreamersNew,give you a pro twitch stream setup,25,Low,5,Five,16,Low
2949,Business,Legal Consulting,do chinese trademark registration for you,55,Medium,5,Five,16,Low
2950,Lifestyle,Gaming,coach you in valorant as an immortal 3 competitive player,15,Low,4.7,Four+,3,Low
2951,Music & Audio,Music TranscriptionNew,transcribe your songs for any ensemble,20,Low,5,Five,3,Low
2952,Music & Audio,Producers & Composers,compose cinematic epic orchestral music for you,50,Low,5,Five,117,Moderate
2953,Programming & Tech,E-Commerce Development,create your automated dropshipping shopify store website,300,High,5,Five,45,Low
2954,Business,Career Counseling,provide career coaching sessions,30,Low,5,Five,6,Low
2955,Music & Audio,Audiobook ProductionNew,narrate your book professionally,30,Low,5,Five,3,Low
2956,Writing & Translation,Email Copy,write a killer soap opera sequence for your business,5,Very Low,4.8,Four+,22,Low
2957,Lifestyle,Collectibles,provide shopify stores list,10,Very Low,5,Five,1,Low
2958,Writing & Translation,Grant Writing,write corporate grants for your 501c3 organization,100,Medium,5,Five,33,Low
2959,Writing & Translation,Resume Writing,"write, rewrite, edit your resume and cover letter",15,Low,4.8,Four+,148,Moderate
2960,Business,Business Consulting,develop your project and change management strategy and plan,50,Low,5,Five,1,Low
2961,Music & Audio,Online Music LessonsNew,do online vocal lessons and songwriting,20,Low,5,Five,13,Low
2962,Music & Audio,Audio Ads ProductionNew,create professional audio ads or radio commercials for your project,40,Low,5,Five,2,Low
2963,Writing & Translation,Sales Copy,create a french professional copywriting for your business,5,Very Low,5,Five,24,Low
2964,Video & Animation,Animation for Streamers,"design animated twitch, facebook, and youtube stream overlay",25,Low,5,Five,47,Low
2965,Business,Project ManagementNew,set up your podio to accomplish all your workflow requirements,5,Very Low,5,Five,14,Low
2966,Programming & Tech,E-Commerce Development,professionally design your shopify website,751,High,5,Five,54,Moderate
2967,Digital Marketing,Domain Research,find the perfect domain name for your business or project,10,Very Low,nul,No Star,nul,No Sale
2968,Business,Presentations,do market research and design investor pitch deck,50,Low,5,Five,6,Low
2969,Video & Animation,3D Product Animation,do 3d animation with blender or maya,20,Low,5,Five,11,Low
2970,Video & Animation,Intros & Outros,"create this cinematic promo trailer for product, service",5,Very Low,4.9,Four+,18,Low
2971,Music & Audio,SongwritersNew,write a pop song for you,80,Medium,5,Five,32,Low
2972,Music & Audio,Sound DesignNew,"create custom sound design for intros, podcasts and more",30,Low,5,Five,87,Moderate
2973,Video & Animation,eLearning Video ProductionNew,create video lessons for your online course in 3 languages,200,Medium,nul,No Star,nul,No Sale
2974,Digital Marketing,Mobile Marketing & Advertising,publish android app on google play store,5,Very Low,5,Five,1,Low
2975,Music & Audio,Producers & Composers,"Our studio will produce, mix and master your hip hop, rap or type beat",100,Medium,5,Five,26,Low
2976,Lifestyle,Arts & Crafts,do real estate skip tracing by tlo,5,Very Low,5,Five,13,Low
2977,Business,Virtual Assistant,professionally format and design microsoft word document,15,Low,5,Five,193,Huge
2978,Lifestyle,"Health, Nutrition & Fitness","provide consultancy, as a pharmacist",5,Very Low,5,Five,5,Low
2979,Business,Project ManagementNew,be your an agile business analyst,30,Low,5,Five,1,Low
2980,Writing & Translation,Book & eBook Writing,"write, design an ebook for weight loss, keto, selfhelp",35,Low,5,Five,7,Low
2981,Music & Audio,Voice Over,record a pro voice over in english or spanish,40,Low,5,Five,94,Moderate
2982,Lifestyle,Online Lessons,"help you in discrete math, physics, chemistry and statistics",5,Very Low,4.7,Four+,13,Low
2983,Business,Business Plans,"write winning business plan, financial plan and proposals",70,Medium,5,Five,2,Low
2984,Video & Animation,Spokespersons Videos,create the best spokesperson and spokesman video,25,Low,4.9,Four+,45,Low
2985,Video & Animation,Logo Animation,create a professional custom logo animation,55,Medium,5,Five,411,Huge
2986,Business,Branding Services,design creative packaging for amazon sellers,20,Low,4.9,Four+,9,Low
2987,Music & Audio,Jingles & Intros,produce a pro quality  jingle in any genre,85,Medium,5,Five,313,Huge
2988,Music & Audio,Jingles & Intros,"write a theme song for your podcast, youtube channel, etc",50,Low,5,Five,38,Low
2989,Writing & Translation,Technical Writing,write professional service contracts and agreements,25,Low,5,Five,13,Low
2990,Programming & Tech,QA,perform load test and analyze performance,15,Low,4.4,Four+,8,Low
2991,Lifestyle,Collectibles,give 190 fun puzzles for family and group games for personal uses,10,Very Low,5,Five,5,Low
2992,Writing & Translation,LinkedIn Profiles,"create, optimize linkedin profile and cover letter plus resume",20,Low,5,Five,2,Low
2993,Business,Business Consulting,provide a forex account growth plan to grow 50 dollars to 50k,15,Low,4.8,Four+,84,Moderate
2994,Music & Audio,Singers & Vocalists,be your songwriter and vocalist pop edm soul gospel,40,Low,5,Five,33,Low
2995,Programming & Tech,Support & IT,install and setup your call center on vicidial or goautodial,45,Low,5,Five,26,Low
2996,Writing & Translation,Email Copy,write compelling emails for your email marketing campaigns,205,High,5,Five,8,Low
2997,Lifestyle,Celebrity Impersonators,enjoy making your silly epic video as devil lucifer foe of the jesus,10,Very Low,4.9,Four+,97,Moderate
2998,Digital Marketing,Local SEO,50 local business submissions non US,150,Medium,nul,No Star,nul,No Sale
2999,Writing & Translation,UX Writing,write clear microcopy for your website,10,Very Low,5,Five,1,Low
3000,Video & Animation,Game Trailers,make a cinematic minecraft server trailer,40,Low,5,Five,10,Low
3001,Programming & Tech,QA,do pentesting of your web and mobile apps,150,Medium,5,Five,3,Low
3002,Programming & Tech,Game Development,"Our studio will create a full 2d game includes art, design, and aso",4584,High,nul,No Star,nul,No Sale
3003,Business,Data Entry,do all your typing work in under 24 hours,5,Very Low,5,Five,53,Moderate
3004,Writing & Translation,Proofreading & Editing,"write your memoir, novels, proofread, edit your book",25,Low,4.9,Four+,17,Low
3005,Lifestyle,Gaming,coach rocket league 2v2 from bronze to c2,15,Low,5,Five,3,Low
3006,Programming & Tech,Game Development,"develop, design, update and fix your 2d,3d unity games",70,Medium,5,Five,15,Low
3007,Video & Animation,Local PhotographyBeta,make nature drone videos,15,Low,4.8,Four+,4,Low
3008,Programming & Tech,Convert Files,do kindle formatting ebook book formatting and layout design for KDP,60,Medium,5,Five,321,Huge
3009,Lifestyle,Relationship Advice,"be your tinder coach, boosting your profile and much more",10,Very Low,5,Five,182,Huge
3010,Writing & Translation,Speechwriting,write an attention grabbing speech,15,Low,4.9,Four+,506,Huge
3011,Video & Animation,3D Product Animation,do a realistic rendering for your sketchup model with lumion,5,Very Low,4.9,Four+,11,Low
3012,Digital Marketing,Web Traffic,drive 2 million organic website traffic google  adsense safe,30,Low,4.8,Four+,59,Moderate
3013,Writing & Translation,Podcast Writing,write your podcast script and content,50,Low,5,Five,6,Low
3014,Programming & Tech,E-Commerce Development,design a premium shopify dropshipping online store plus SEO,65,Medium,nul,No Star,nul,No Sale
3015,Business,HR ConsultingNew,human resource management and strategic management tutoring services,10,Very Low,5,Five,18,Low
3016,Music & Audio,Music TranscriptionNew,transcribe and arrange music,5,Very Low,5,Five,115,Moderate
3017,Business,Financial ConsultingNew,"setup, catch up and do your bookkeeping in  quickbooks online",10,Very Low,5,Five,95,Moderate
3018,Writing & Translation,Business Names & Slogans,create catchy business name brand name domain name company name,20,Low,5,Five,9,Low
3019,Writing & Translation,Social Media Copy,write french posts for your social media channels,10,Very Low,5,Five,12,Low
3020,Writing & Translation,Speechwriting,write political speeches for candidates,115,Medium,5,Five,3,Low
3021,Video & Animation,Spokespersons Videos,be your professional spokesperson,35,Low,5,Five,137,Moderate
3022,Writing & Translation,LinkedIn Profiles,optimize your linkedin profile,5,Very Low,5,Five,2,Low
3023,Music & Audio,Mixing & Mastering,professionally mix and master your song or album,100,Medium,5,Five,3,Low
3024,Business,Career Counseling,write compelling detailed job description,15,Low,4.9,Four+,22,Low
3025,Business,Virtual Assistant,format your microsoft word document,5,Very Low,5,Five,90,Moderate
3026,Writing & Translation,Podcast Writing,create questions for your podcast,25,Low,5,Five,2,Low
3027,Programming & Tech,E-Commerce Development,"fix shopify bugs, theme customization, awesome store design",30,Low,5,Five,349,Huge
3028,Video & Animation,Animation for Kids,"do 2d kid story telling animation,nursery ryhmes and kid learning videos",90,Medium,4.9,Four+,38,Low
3029,Business,Career Counseling,"write a high impact cv or resume for senior executives, directors and vps",200,Medium,5,Five,2,Low
3030,Programming & Tech,QA,professionally test your game,15,Low,5,Five,5,Low
3031,Writing & Translation,Speechwriting,write a persuasive presentation for you,50,Low,4.8,Four+,3,Low
3032,Digital Marketing,Web Traffic,improve global and USA alexa rank with traffic and backlink,35,Low,5,Five,45,Low
3033,Writing & Translation,Sales Copy,write a winning sales proposal or copy for you,65,Medium,5,Five,7,Low
3034,Music & Audio,Sound DesignNew,"create custom, royalty free sound effects for your project",35,Low,4.9,Four+,24,Low
3035,Music & Audio,Voice Over,deliver american cowboy story teller voice over,35,Low,5,Five,161,Huge
3036,Music & Audio,Jingles & Intros,"perform, jingles, and songwriting, also do coaching",35,Low,5,Five,108,Moderate
3037,Music & Audio,Online Music LessonsNew,provide you with a custom guitar video lesson or live online,15,Low,5,Five,26,Low
3038,Writing & Translation,Book EditingNew,be your fiction line editor or copy editor,100,Medium,5,Five,21,Low
3039,Programming & Tech,Game Development,make ar VR multiplayer 3d games,50,Low,5,Five,5,Low
3040,Music & Audio,DJ Drops & Tags,"create custom dj drops, beat tags and podcast sweepers",15,Low,4.6,Four+,12,Low
3041,Music & Audio,Podcast EditingNew,edit and master your podcast,20,Low,5,Five,1,Low
3042,Music & Audio,SongwritersNew,ghost write professional rap song lyrics,45,Low,5,Five,32,Low
3043,Business,Presentations,"create architectural portfolio,photo edits, brochures and presentations",40,Low,4.8,Four+,19,Low
3044,Business,Career Counseling,do a 101 influencer coaching call,25,Low,5,Five,1,Low
3045,Writing & Translation,Legal Writing,"write terms and conditions, privacy policy for your website",45,Low,4.9,Four+,3,Low
3046,Music & Audio,Voice Over,record a studio male voice over in 24 hours,250,High,5,Five,112,Moderate
3047,Music & Audio,Sound DesignNew,create sound design for video or short film,20,Low,nul,No Star,nul,No Sale
3048,Business,Project ManagementNew,sewing and textile production in egypt,50,Low,5,Five,1,Low
3049,Programming & Tech,Cybersecurity & Data ProtectionNew,perform a vulnerability scan for your site and digital assets,100,Medium,nul,No Star,nul,No Sale
3050,Writing & Translation,Proofreading & Editing,proofread and edit your content,5,Very Low,nul,No Star,nul,No Sale
3051,Video & Animation,Spokespersons Videos,be your professional video spokesperson,80,Medium,5,Five,35,Low
3052,Music & Audio,DJ Drops & Tags,"record a sexy dj drop, podcast intro or radio imaging",25,Low,5,Five,75,Moderate
3053,Programming & Tech,Databases,"create ms access, ms sql and mysql databases",10,Very Low,5,Five,45,Low
3054,Writing & Translation,Legal Writing,write gdpr privacy policy and terms and conditions for your website or app,10,Very Low,5,Five,24,Low
3055,Digital Marketing,E-Commerce Marketing,set up shopify store to start selling,150,Medium,5,Five,118,Moderate
3056,Video & Animation,Character Animation,"make 3d character animation using c4d,maya,max,iclone etc",15,Low,4.9,Four+,90,Moderate
3057,Business,Virtual Assistant,be your virtual assistant,10,Very Low,5,Five,16,Low
3058,Lifestyle,Craft Lessons,write high quality essays of any type in less than 24 hours,10,Very Low,5,Five,3,Low
3059,Programming & Tech,Development for StreamersNew,"setup streamlabs obs professional looking stream, recording in 24hours",5,Very Low,5,Five,3,Low
3060,Lifestyle,Family & Genealogy,conduct family history  research and provide consultation,15,Low,5,Five,4,Low
3061,Writing & Translation,Research & Summaries,help you in criminology and criminal justice,20,Low,4.9,Four+,8,Low
3062,Digital Marketing,Web Traffic,send unlimited google traffic with guarantee,10,Very Low,5,Five,1k+,Huge
3063,Programming & Tech,E-Commerce Development,do bigcommerce theme development and customization,10,Very Low,4.9,Four+,32,Low
3064,Lifestyle,Greeting Cards & Videos,wish a happy birthday from kim jong un,10,Very Low,5,Five,49,Low
3065,Programming & Tech,Online Coding LessonsNew,"be your programmer in java, c, python, csharp and javascript",5,Very Low,5,Five,6,Low
3066,Video & Animation,Slideshows Videos,create awesome slideshow video,15,Low,5,Five,717,Huge
3067,Video & Animation,Live Action Explainers,create an amazon product demonstration video,100,Medium,5,Five,4,Low
3068,Video & Animation,Whiteboard & Animated Explainers,create an awesome 2d animated explainer sales video,30,Low,4.9,Four+,395,Huge
3069,Programming & Tech,Cybersecurity & Data ProtectionNew,help you to build your cybersecurity infrastructure strategy at optimal cost,120,Medium,5,Five,1,Low
3070,Digital Marketing,E-Commerce Marketing,add upload video to your amazon listing to increase sales,55,Medium,5,Five,133,Moderate
3071,Lifestyle,Astrology & Readings,tell you who your true soulmate is plus details,10,Very Low,5,Five,131,Moderate
3072,Lifestyle,Celebrity Impersonators,impersonate games of thrones jon snow,30,Low,4.8,Four+,33,Low
3073,Music & Audio,Sound DesignNew,be the sound designer of your video or animation project,10,Very Low,5,Five,3,Low
3074,Writing & Translation,Research & Summaries,research and write 5000 words article for you,30,Low,5,Five,26,Low
3075,Programming & Tech,Databases,develop professional ms access database or sql database,10,Very Low,5,Five,14,Low
3076,Business,Business Plans,assist with your fca authorisation application and regulation,85,Medium,5,Five,4,Low
3077,Business,Business Plans,"prepare business plan  for investors, startups, business plan writer",20,Low,5,Five,12,Low
3078,Business,Virtual Assistant,call real estate leads and set appointments,35,Low,4.7,Four+,33,Low
3079,Programming & Tech,Chatbots,do telegram crypto investment bot,180,Medium,4.7,Four+,12,Low
3080,Music & Audio,Mixing & Mastering,"mix and master your house, techno or edm track",35,Low,5,Five,95,Moderate
3081,Video & Animation,3D Product Animation,make 3d character modeling for animation and games,80,Medium,5,Five,2,Low
3082,Business,E-Commerce ManagementNew,launch your etsy store and make it profitable,25,Low,5,Five,5,Low
3083,Writing & Translation,Social Media Copy,"create social media content for facebook, instagram, twitter",30,Low,5,Five,26,Low
3084,Writing & Translation,Online Language LessonsNew,teach you norwegian on zoom,15,Low,5,Five,2,Low
3085,Business,Market Research,create a market research report for any industry or niche,450,High,4.9,Four+,25,Low
3086,Lifestyle,Fitness Lessons,"be your personal yoga, fitness and meditation coach",10,Very Low,5,Five,1,Low
3087,Video & Animation,Short Video Ads,make a memorable commercial brand video,175,Medium,5,Five,130,Moderate
3088,Video & Animation,Subtitles & Captions,do the subtitles for your german or english video,5,Very Low,5,Five,18,Low
3089,Lifestyle,Celebrity Impersonators,perform an unbelievable morgan freeman impression,20,Low,4.9,Four+,1k+,Huge
3090,Business,Presentations,design investor pitch deck and powerpoint presentation in 1 hour,15,Low,4.9,Four+,13,Low
3091,Lifestyle,Personal StylistsNew,give great fashion advice,10,Very Low,5,Five,1,Low
3092,Video & Animation,Video Editing,do professional video editing and post production,20,Low,5,Five,52,Moderate
3093,Programming & Tech,Online Coding LessonsNew,"teach you javascript, react, redux, nodejs, express, mongo db, mongoose, etc",10,Very Low,5,Five,1,Low
3094,Writing & Translation,Website Content,create dotcom domain names for your business startup,100,Medium,5,Five,16,Low
3095,Video & Animation,Slideshows Videos,"create colorful photo slideshow promo video, intro",15,Low,5,Five,31,Low
3096,Writing & Translation,Podcast Writing,write romantic and erotic podcast story for you,5,Very Low,nul,No Star,nul,No Sale
3097,Programming & Tech,Cybersecurity & Data ProtectionNew,detect and remove webshells from your web server,150,Medium,nul,No Star,nul,No Sale
3098,Writing & Translation,Legal Writing,"write all legal documents, contracts and agreements",50,Low,4.9,Four+,302,Huge
3099,Programming & Tech,WordPress,create a robust and responsive wordpress website,300,High,4.4,Four+,7,Low
3100,Digital Marketing,Local SEO,build google authority backlinks omg and rys stack,30,Low,5,Five,9,Low
3101,Programming & Tech,Web Programming,"build music website for music artist , producer , dj or band",40,Low,4.7,Four+,68,Moderate
3102,Writing & Translation,Online Language LessonsNew,improve your german skills naturally,15,Low,5,Five,7,Low
3103,Music & Audio,Audiobook ProductionNew,produce and provide audiobook narration for your audiobook,40,Low,5,Five,2,Low
3104,Video & Animation,Slideshows Videos,make beautiful high quality photo slideshows for you,50,Low,nul,No Star,nul,No Sale
3105,Programming & Tech,Mobile Apps,do android and IOS app development as per requirements,250,High,5,Five,23,Low
3106,Video & Animation,3D Product Animation,"3d model, rig, light, animation and render any 3d character",90,Medium,5,Five,25,Low
3107,Business,Career Counseling,be your life coach,15,Low,5,Five,28,Low
3108,Business,HR ConsultingNew,design authentic learning material for you,10,Very Low,5,Five,1,Low
3109,Programming & Tech,Data Analysis & Reports,"create a reliable excel invoicing, pos and inventory management  system",30,Low,5,Five,43,Low
3110,Writing & Translation,Scriptwriting,write an ad script or story for your brand or project,100,Medium,5,Five,91,Moderate
3111,Writing & Translation,Website Content,write an about us page for your business startup,55,Medium,4.9,Four+,99,Moderate
3112,Programming & Tech,Convert Files,expert kindle ebook book formatting createspace paperback formatting,35,Low,5,Five,355,Huge
3113,Lifestyle,Fitness Lessons,create a workout video for you to get fit at home,30,Low,5,Five,6,Low
3114,Music & Audio,Session Musicians,record pro horn section for you,100,Medium,5,Five,22,Low
3115,Video & Animation,eLearning Video ProductionNew,create online video course for any platform,70,Medium,nul,No Star,nul,No Sale
3116,Writing & Translation,Transcripts,transcribe any italian audio file such as podcasts conferences and lessons,5,Very Low,5,Five,13,Low
3117,Writing & Translation,Translation,do professional native translation from english to bulgarian,5,Very Low,5,Five,5,Low
3118,Music & Audio,Vocal Tuning,hi I am a music engineer,5,Very Low,5,Five,1,Low
3119,Music & Audio,Online Music LessonsNew,teach music theory for songwriters and composers,30,Low,5,Five,4,Low
3120,Writing & Translation,Proofreading & Editing,give you a rewrite that outclasses the original,100,Medium,5,Five,52,Moderate
3121,Writing & Translation,Online Language LessonsNew,professionally teach you english online,15,Low,5,Five,28,Low
3122,Video & Animation,Lyric & Music Videos,create sexy silhouette dance for any music,15,Low,5,Five,96,Moderate
3123,Lifestyle,Cooking Lessons,provide authentic asian cuisine recipes and baking tips,15,Low,5,Five,1,Low
3124,Business,Legal Consulting,write a patent for your invention,270,High,5,Five,23,Low
3125,Writing & Translation,Beta Reading,beta read your novel or script,135,Medium,4.7,Four+,1,Low
3126,Business,Project ManagementNew,"do project management, gantt chart timeline on microsoft  project or primavera",5,Very Low,5,Five,30,Low
3127,Writing & Translation,Beta Reading,beta read your future best seller,10,Very Low,5,Five,46,Low
3128,Writing & Translation,UX Writing,do clear and concise UX writing for your app or website,5,Very Low,nul,No Star,nul,No Sale
3129,Writing & Translation,White Papers,summarize a field of law,50,Low,5,Five,2,Low
3130,Programming & Tech,WordPress,develop functional wordpress membership site,250,High,5,Five,195,Huge
3131,Video & Animation,Video Editing,"edit your trailers, promos, and sizzle reels",150,Medium,5,Five,7,Low
3132,Music & Audio,Jingles & Intros,"produce podcast intro, radio imaging, dj drops, commercials",100,Medium,5,Five,336,Huge
3133,Lifestyle,Viral Videos,be your actress and do anything you want,20,Low,5,Five,3,Low
3134,Music & Audio,Online Music LessonsNew,online violin lessons for all levels,10,Very Low,5,Five,1,Low
3135,Lifestyle,Relationship Advice,cast obsession love psychic spell for you,15,Low,4.9,Four+,449,Huge
3136,Music & Audio,Voice Over,record a conversational american voice over that makes an impact,150,Medium,5,Five,1k+,Huge
3137,Writing & Translation,Brand Voice & Tone,write original jokes for your content,5,Very Low,5,Five,3,Low
3138,Music & Audio,Session Musicians,create pro piano arrangements and compositions in all styles,75,Medium,5,Five,75,Moderate
3139,Music & Audio,Audiobook ProductionNew,professionally produce your audio book,90,Medium,5,Five,32,Low
3140,Video & Animation,Character Animation,"do 3d character modeling,rigging and animation",601,High,4.9,Four+,32,Low
3141,Video & Animation,Video Editing,do professional video editing,200,Medium,5,Five,401,Huge
3142,Writing & Translation,Email Copy,write gripping email newsletter copy,100,Medium,5,Five,11,Low
3143,Music & Audio,Session Musicians,record saxophone with emotive solos or punchy sax hooks,100,Medium,5,Five,36,Low
3144,Digital Marketing,Web Traffic,drive organic crypto traffic visitors,40,Low,4.9,Four+,101,Moderate
3145,Lifestyle,Craft Lessons,create kids origami and papercraft youtube video,30,Low,5,Five,1,Low
3146,Video & Animation,Slideshows Videos,"create happy birthday slideshow video photo slideshow in 3d, 4k",10,Very Low,5,Five,24,Low
3147,Business,E-Commerce ManagementNew,be your wordpress shopify  woocommerce virtual assistant,5,Very Low,5,Five,6,Low
3148,Video & Animation,Short Video Ads,professional advertising videos of your product,50,Low,5,Five,1,Low
3149,Writing & Translation,Translation,provide quick and quality spanish to english translations,40,Low,5,Five,9,Low
3150,Business,Financial ConsultingNew,prepare your USA individual and business tax returns,60,Medium,5,Five,10,Low
3151,Programming & Tech,Web Programming,convert your web design to html and css,95,Medium,5,Five,4,Low
3152,Video & Animation,Visual Effects,"do vfx, rotoscoping ,masking ,color correction, tracking on your video etc",35,Low,4.6,Four+,11,Low
3153,Writing & Translation,White Papers,send you both intrastate and interstate  transportation shippers list,10,Very Low,5,Five,2,Low
3154,Digital Marketing,Local SEO,apply new 2020 super circle local SEO technique,100,Medium,5,Five,11,Low
3155,Video & Animation,Intros & Outros,do youtube intro outro video trailer promo or animated logo,20,Low,4.9,Four+,392,Huge
3156,Music & Audio,Producers & Composers,ghost produce you an edm song like spinnin records,596,High,5,Five,127,Moderate
3157,Business,Branding Services,provide branding services for your startup,20,Low,5,Five,1,Low
3158,Business,Market Research,create market research and strategy,570,High,5,Five,11,Low
3159,Programming & Tech,Databases,create mysql database schema,10,Very Low,nul,No Star,nul,No Sale
3160,Lifestyle,Traveling,do whatever you need related to yogyakarta indonesia,5,Very Low,5,Five,1,Low
3161,Writing & Translation,Business Names & Slogans,"develop 10 catchy business name, brand name, blog name or domain name",30,Low,5,Five,6,Low
3162,Programming & Tech,Chatbots,design and develop custom alexa skill,300,High,4.9,Four+,22,Low
3163,Video & Animation,Live Action Explainers,make high quality video trailer promo or teaser,150,Medium,5,Five,142,Moderate
3164,Writing & Translation,Translation,"translate amazon listing into german, english, french, italian, spanish, dutch",15,Low,5,Five,22,Low
3165,Music & Audio,Sound DesignNew,mix professional sfx for your vision or animation,5,Very Low,4.9,Four+,15,Low
3166,Video & Animation,Unboxing VideosNew,unboxing and demo video product showcase in 4k HD 75 dollars,75,Medium,5,Five,20,Low
3167,Writing & Translation,Creative Writing,be your low cost but high quality fantasy ghost writer,30,Low,5,Five,178,Huge
3168,Writing & Translation,Website Content,provide perfect copywriting within 24 hours,40,Low,5,Five,86,Moderate
3169,Video & Animation,Lyric & Music Videos,create most stunning lyrics video for music in kinetic style,50,Low,5,Five,78,Moderate
3170,Music & Audio,Voice Over,record an african american female voice over for you,15,Low,5,Five,39,Low
3171,Programming & Tech,Convert Files,"typeset, layout, format interior your book or novel for print publish",40,Low,5,Five,106,Moderate
3172,Writing & Translation,Press Releases,write you a professional press release,35,Low,4.9,Four+,127,Moderate
3173,Business,Market Research,"do market research, competitor analysis and industry analysis",35,Low,4.9,Four+,136,Moderate
3174,Video & Animation,Short Video Ads,produce short video ads for social media or cinematic trailer,50,Low,4.8,Four+,85,Moderate
3175,Business,Career Counseling,help you with any un job applications and advice on benefits,70,Medium,5,Five,1,Low
3176,Writing & Translation,Resume Writing,write a resume and cover letter that bring results,120,Medium,4.9,Four+,105,Moderate
3177,Writing & Translation,UX Writing,provide ux writing to take your website to the next level,45,Low,5,Five,3,Low
3178,Lifestyle,Spiritual & Healing,activate your kundalini for money and wealth,20,Low,5,Five,14,Low
3179,Music & Audio,Sound DesignNew,do professional audio and video editing with sound effects,10,Very Low,4.9,Four+,78,Moderate
3180,Writing & Translation,Research & Summaries,write your unique gradeproof academic report,40,Low,5,Five,3,Low
3181,Business,Branding Services,think of best name for your business brand with logo design,10,Very Low,5,Five,10,Low
3182,Business,Project ManagementNew,manage your amazon seller central monthly,295,High,5,Five,14,Low
3183,Writing & Translation,Scriptwriting,"offer story consulting on your screenplay, pilot, or book idea",120,Medium,4.9,Four+,5,Low
3184,Music & Audio,Audio Ads ProductionNew,"make your event, concert, club sound amazing",40,Low,5,Five,1,Low
3185,Writing & Translation,Email Copy,write a conversion driven sales email sequence,80,Medium,5,Five,3,Low
3186,Writing & Translation,LinkedIn Profiles,create a professional linkedin profile to shine,20,Low,4.8,Four+,115,Moderate
3187,Writing & Translation,Legal Writing,write and file your provisional patent application in a day,25,Low,5,Five,4,Low
3188,Business,Business Consulting,"start, improve, or fund your nonprofit or 501c3",360,High,5,Five,23,Low
3189,Video & Animation,Live Action Explainers,create an outstanding business video for you in 24 hours,5,Very Low,5,Five,98,Moderate
3190,Music & Audio,Online Music LessonsNew,provide private songwriting lessons,40,Low,5,Five,4,Low
3191,Writing & Translation,Cover Letters,write your professional cover letter from scratch,45,Low,4.9,Four+,37,Low
3192,Writing & Translation,Business Names & Slogans,"brainstorm 20 name ideas for your business, brand or product",40,Low,4.6,Four+,3,Low
